FechaHora,Valor,hora_sin,hora_cos,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,tendencia,lag_1,lag_24,lag_168
2026-01-08 00:00:00,35303606.03,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,168,37167078.41,34653911.72,32501067.46
2026-01-08 01:00:00,34008381.64,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,169,35303606.03,33418023.59,32251398.63
2026-01-08 02:00:00,33017634.58,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,170,34008381.64,32372129.68,31749687.84
2026-01-08 03:00:00,32457717.93,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,171,33017634.58,31932781.45,31129385.43
2026-01-08 04:00:00,32718498.94,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,172,32457717.93,32381874.53,30592208.95
2026-01-08 05:00:00,33584439.26,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,173,32718498.94,33152405.85,30111672.87
2026-01-08 06:00:00,34272539.39,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,174,33584439.26,33677287.49,28433169.85
2026-01-08 07:00:00,36090707.38,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,175,34272539.39,35462671.46,28097266.9
2026-01-08 08:00:00,37917813.37,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,176,36090707.38,37060677.95,28569066.05
2026-01-08 09:00:00,38788647.51,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,177,37917813.37,37922031.28,29056737.79
2026-01-08 10:00:00,39850711.52,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,178,38788647.51,39475338.83,29500241.009999998
2026-01-08 11:00:00,41173880.89,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,179,39850711.52,40957652.08,30485403.74
2026-01-08 12:00:00,41626861.96,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,180,41173880.89,41161582.9,31347319.37
2026-01-08 13:00:00,41965651.81,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,181,41626861.96,41374736.16,31814180.73
2026-01-08 14:00:00,42625316.21,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,182,41965651.81,42190602.13,31872064.4
2026-01-08 15:00:00,42722374.36,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,183,42625316.21,42488266.63,31867984.740000002
2026-01-08 16:00:00,42557818.74,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,184,42722374.36,42174134.79,31948184.2
2026-01-08 17:00:00,41982613.11,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,185,42557818.74,41566775.99,32616418.240000002
2026-01-08 18:00:00,44372186.75,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,186,41982613.11,43767481.97,35654969.33
2026-01-08 19:00:00,44662588.38,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,187,44372186.75,44191684.54,36463953.87
2026-01-08 20:00:00,43567553.31,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,188,44662588.38,43077494.02,36108999.94
2026-01-08 21:00:00,41809666.76,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,189,43567553.31,41380829.46,35442907.96
2026-01-08 22:00:00,39544918.660000004,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,190,41809666.76,39306653.25,34443728.84
2026-01-08 23:00:00,37516420.29,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,191,39544918.660000004,37167078.41,33222867.55
2026-01-09 00:00:00,35743300.36,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,192,37516420.29,35303606.03,32168177.88
2026-01-09 01:00:00,34552369.94,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,193,35743300.36,34008381.64,31258632.099999998
2026-01-09 02:00:00,33609818.37,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,194,34552369.94,33017634.58,30491891.87
2026-01-09 03:00:00,33087116.28,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,195,33609818.37,32457717.93,30084691.52
2026-01-09 04:00:00,33266530.74,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,196,33087116.28,32718498.94,30194556.77
2026-01-09 05:00:00,33988804.45,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,197,33266530.74,33584439.26,30690168.52
2026-01-09 06:00:00,34750347.47,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,198,33988804.45,34272539.39,30840193.56
2026-01-09 07:00:00,36531811.03,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,199,34750347.47,36090707.38,32301985.1
2026-01-09 08:00:00,38167856.37,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,200,36531811.03,37917813.37,33884664.69
2026-01-09 09:00:00,39104104.42,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,201,38167856.37,38788647.51,34894260.99
2026-01-09 10:00:00,40461252.69,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,202,39104104.42,39850711.52,36212156.05
2026-01-09 11:00:00,41670745.84,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,203,40461252.69,41173880.89,37070701.9
2026-01-09 12:00:00,42063915.1,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,204,41670745.84,41626861.96,37776188.76
2026-01-09 13:00:00,42429903.51,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,205,42063915.1,41965651.81,37975123.09
2026-01-09 14:00:00,43230058.81,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,206,42429903.51,42625316.21,38437208.14
2026-01-09 15:00:00,43450683.6,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,207,43230058.81,42722374.36,38558623.17
2026-01-09 16:00:00,43125248.910000004,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,208,43450683.6,42557818.74,38289900.2
2026-01-09 17:00:00,42388579.28,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,209,43125248.910000004,41982613.11,38411136.91
2026-01-09 18:00:00,44482686.839999996,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,210,42388579.28,44372186.75,40995965.52
2026-01-09 19:00:00,44646286.44,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,211,44482686.839999996,44662588.38,41237065.41
2026-01-09 20:00:00,43568439.79,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,212,44646286.44,43567553.31,40457475.5
2026-01-09 21:00:00,41870814.53,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,213,43568439.79,41809666.76,39204494.78
2026-01-09 22:00:00,39873920.12,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,214,41870814.53,39544918.660000004,37511814.37
2026-01-09 23:00:00,37765995.09,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,215,39873920.12,37516420.29,35696872.15
2026-01-10 00:00:00,35822066.87,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,216,37765995.09,35743300.36,34065516.61
2026-01-10 01:00:00,34695251.34,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,217,35822066.87,34552369.94,32734548.43
2026-01-10 02:00:00,33768161.71,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,218,34695251.34,33609818.37,31886925.99
2026-01-10 03:00:00,33149866.59,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,219,33768161.71,33087116.28,31231586.509999998
2026-01-10 04:00:00,33047825.48,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,220,33149866.59,33266530.74,31145817.96
2026-01-10 05:00:00,33356472.84,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,221,33047825.48,33988804.45,31406164.2
2026-01-10 06:00:00,33551580.580000002,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,222,33356472.84,34750347.47,31414591.41
2026-01-10 07:00:00,34963919.53,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,223,33551580.580000002,36531811.03,32489640.310000002
2026-01-10 08:00:00,36631362.04,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,224,34963919.53,38167856.37,33981048.01
2026-01-10 09:00:00,37647498.96,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,225,36631362.04,39104104.42,35150703.94
2026-01-10 10:00:00,38643773.6,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,226,37647498.96,40461252.69,36075325.52
2026-01-10 11:00:00,39405126.32,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,227,38643773.6,41670745.84,36934748.14
2026-01-10 12:00:00,39512696.92,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,228,39405126.32,42063915.1,37403125.5
2026-01-10 13:00:00,39606828.45,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,229,39512696.92,42429903.51,37458424.93
2026-01-10 14:00:00,39469902.839999996,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,230,39606828.45,43230058.81,37030427.23
2026-01-10 15:00:00,39603321.6,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,231,39469902.839999996,43450683.6,37272254.39
2026-01-10 16:00:00,39545029.99,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,232,39603321.6,43125248.910000004,37336059.9
